model,split,accuracy,precision,recall,f1,roc_auc,threshold,loss
TF-IDF + SGD baseline,valid,0.646212658626941,0.31182484567901236,0.6370443349753695,0.41870102959269573,0.7003496835608152,0.49499999999999994,
TF-IDF + SGD baseline,test,0.654160229529905,0.32047500776156473,0.6509538073466814,0.42950018203567897,0.7111331305364945,0.49499999999999994,
Embedding Pooling,valid,0.6496413651769528,0.31278830110903916,0.6279802955665025,0.417583857442348,0.6938362320743312,0.5349999999999999,1.055440248952198
Embedding Pooling,test,0.6559889018507425,0.3204966991512103,0.6429134478953177,0.427754759532176,0.7079470593358638,0.5349999999999999,1.04209278293759
TextCNN,valid,0.6480255379522346,0.3025803809133729,0.5822660098522168,0.39822114412775417,0.6719789880207159,0.5099999999999999,1.1582604183451244
TextCNN,test,0.6540656430305515,0.312210953346856,0.6066530033107362,0.41225626740947074,0.6884495011229826,0.5099999999999999,1.12531680480023
BiLSTM,valid,0.6444786001418775,0.3102884615384615,0.6358620689655172,0.41705977382875603,0.6962964178147533,0.4699999999999999,1.0766081140238106
BiLSTM,test,0.6511019327174701,0.32070457824007287,0.6659309475011824,0.43291995490417134,0.7126868691078609,0.4699999999999999,1.0488887636501492
