epoch,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_loss,valid_accuracy,valid_precision,valid_recall,valid_f1,valid_roc_auc,valid_loss
1,0.6027687456892304,0.27245651926793224,0.5904029953690019,0.37285129816592255,0.6340253553780856,1.0675233557748376,0.495980137148262,0.25582425930615343,0.796256157635468,0.3872358775334196,0.6541933221491413,1.064624461917587
2,0.6410286727756429,0.3162498291649583,0.6840082766775052,0.43252336448598133,0.7081476819606991,1.0052611782980947,0.6432962875384252,0.3081081081081081,0.6289655172413793,0.41360544217687073,0.6922294068212247,1.0299384630420787
3,0.6833087003645679,0.3559070446526341,0.7205636023253522,0.47647125893831543,0.7594542042237524,0.9414871140106146,0.6604398202884842,0.3166235111341274,0.6023645320197044,0.415071283095723,0.6962964178147533,1.0766081140238106
4,0.7194206325746378,0.39628145292207795,0.7696817420435511,0.5231907839657077,0.8101259609248543,0.8581018844676471,0.667336643808623,0.3155414291977203,0.5672906403940887,0.40552151559969013,0.68666004804527,1.1946527703279881
5,0.791782441619864,0.4878602620087336,0.8255985811409992,0.6133069828722003,0.8804289750080195,0.6998152392793141,0.7275557657444628,0.34829976890062725,0.41576354679802957,0.3790532650678164,0.6767881695742249,1.6608471057606127
6,0.8478569317174106,0.5805125484865564,0.8626465661641541,0.694001307940786,0.924335660252056,0.5646223689038268,0.7080870182076141,0.3315515746893961,0.4522167487684729,0.3825956489122281,0.6627306108651037,1.719952377113898
7,0.892028771307518,0.6728349370836417,0.8956547443097842,0.7684179382053341,0.9549602121487676,0.43847043827750176,0.7101757704737133,0.32825923134890733,0.4291625615763547,0.37198975234842013,0.6558253809974381,2.081051067829771
8,0.9241107498275692,0.7553105237554727,0.9179229480737019,0.8287150291331228,0.9738405847876008,0.33604893831167093,0.7329155828801135,0.3370980091883614,0.3469950738916256,0.3419749490241771,0.6342773564763438,2.6780884250889265
